Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle,branch,,,,,,High-level vehicle data.,,,,[]
Vehicle.Powertrain,branch,,,,,,"Powertrain data for battery management, etc.",,,,[]
Vehicle.Powertrain.CombustionEngine,branch,,,,,,"Engine-specific data, stopping at the bell housing.",,,,[]
Vehicle.Powertrain.CombustionEngine.EngineCode,attribute,string,,,,,"Engine code designation, as specified by vehicle manufacturer.",For hybrid vehicles the engine code may refer to the combination of combustion and electric engine.,,,
Vehicle.Powertrain.CombustionEngine.Displacement,attribute,uint16,,cm^3,,,Displacement in cubic centimetres.,,,,
Vehicle.Powertrain.CombustionEngine.StrokeLength,attribute,float,,mm,,,Stroke length in millimetres.,,,,
Vehicle.Powertrain.CombustionEngine.Bore,attribute,float,,mm,,,Bore in millimetres.,,,,
Vehicle.Powertrain.CombustionEngine.Configuration,attribute,string,,,,,Engine configuration.,,"['UNKNOWN', 'STRAIGHT', 'V', 'BOXER', 'W', 'ROTARY', 'RADIAL', 'SQUARE', 'H', 'U', 'OPPOSED', 'X']",UNKNOWN,
Vehicle.Powertrain.CombustionEngine.NumberOfCylinders,attribute,uint16,,,,,Number of cylinders.,,,,
Vehicle.Powertrain.CombustionEngine.NumberOfValvesPerCylinder,attribute,uint16,,,,,Number of valves per cylinder.,,,,
Vehicle.Powertrain.CombustionEngine.CompressionRatio,attribute,string,,,,,"Engine compression ratio, specified in the format 'X:1', e.g. '9.2:1'.",,,,
Vehicle.Powertrain.CombustionEngine.EngineOilCapacity,attribute,float,v5.0 moved to EngineOil.Capacity,l,,,Engine oil capacity in liters.,,,,
Vehicle.Powertrain.CombustionEngine.EngineCoolantCapacity,attribute,float,v5.0 moved to EngineCoolant.Capacity,l,,,Engine coolant capacity in liters.,,,,
Vehicle.Powertrain.CombustionEngine.MaxPower,attribute,uint16,,kW,,,"Peak power, in kilowatts, that engine can generate.",,,0,
Vehicle.Powertrain.CombustionEngine.MaxTorque,attribute,uint16,,Nm,,,"Peak torque, in newton meter, that the engine can generate.",,,0,
Vehicle.Powertrain.CombustionEngine.AspirationType,attribute,string,,,,,"Type of aspiration (natural, turbocharger, supercharger etc).",,"['UNKNOWN', 'NATURAL', 'SUPERCHARGER', 'TURBOCHARGER']",UNKNOWN,
Vehicle.Powertrain.CombustionEngine.EngineOilLevel,sensor,string,v5.0 moved to EngineOil.Level,,,,Engine oil level.,,"['CRITICALLY_LOW', 'LOW', 'NORMAL', 'HIGH', 'CRITICALLY_HIGH']",,
Vehicle.Powertrain.CombustionEngine.OilLifeRemaining,sensor,int32,v5.0 moved to EngineOil.LifeRemaining,s,,,Remaining engine oil life in seconds. Negative values can be used to indicate that lifetime has been exceeded.,In addition to this a signal a vehicle can report remaining time to service (including e.g. oil change) by Vehicle.Service.TimeToService.,,,
Vehicle.Powertrain.CombustionEngine.IsRunning,sensor,boolean,,,,,Engine Running. True if engine is rotating (Speed > 0).,,,,
Vehicle.Powertrain.CombustionEngine.Speed,sensor,uint16,,rpm,,,Engine speed measured as rotations per minute.,,,,
Vehicle.Powertrain.CombustionEngine.EngineHours,sensor,float,,h,,,Accumulated time during engine lifetime with 'engine speed (rpm) > 0'.,,,,
Vehicle.Powertrain.CombustionEngine.IdleHours,sensor,float,,h,,,Accumulated idling time during engine lifetime. Definition of idling is not standardized.,Vehicles may calculate accumulated idle time for an engine. It might be based on engine speed (rpm) below a certain limit or any other mechanism.,,,
Vehicle.Powertrain.CombustionEngine.ECT,sensor,float,v5.0 moved to EngineCoolant.Temperature,celsius,,,Engine coolant temperature.,,,,
Vehicle.Powertrain.CombustionEngine.EOT,sensor,float,v5.0 moved to EngineOil.Temperature,celsius,,,Engine oil temperature.,,,,
Vehicle.Powertrain.CombustionEngine.EngineOil,branch,,,,,,Signals related to the engine oil,,,,[]
Vehicle.Powertrain.CombustionEngine.EngineOil.Capacity,attribute,float,,l,,,Engine oil capacity in liters.,,,,
Vehicle.Powertrain.CombustionEngine.EngineOil.Level,sensor,string,,,,,Engine oil level.,,"['CRITICALLY_LOW', 'LOW', 'NORMAL', 'HIGH', 'CRITICALLY_HIGH']",,
Vehicle.Powertrain.CombustionEngine.EngineOil.LifeRemaining,sensor,int32,,s,,,Remaining engine oil life in seconds. Negative values can be used to indicate that lifetime has been exceeded.,In addition to this a signal a vehicle can report remaining time to service (including e.g. oil change) by Vehicle.Service.TimeToService.,,,
Vehicle.Powertrain.CombustionEngine.EngineOil.Temperature,sensor,float,,celsius,,,"EOT, Engine oil temperature.",,,,
Vehicle.Powertrain.CombustionEngine.EngineCoolant,branch,,,,,,Signals related to the engine coolant,,,,[]
Vehicle.Powertrain.CombustionEngine.EngineCoolant.Capacity,attribute,float,,l,,,Engine coolant capacity in liters.,,,,
Vehicle.Powertrain.CombustionEngine.EngineCoolant.Temperature,sensor,float,,celsius,,,Engine coolant temperature.,,,,
Vehicle.Powertrain.CombustionEngine.EngineCoolant.Level,sensor,string,,,,,Engine coolant level.,,"['CRITICALLY_LOW', 'LOW', 'NORMAL']",,
Vehicle.Powertrain.CombustionEngine.EngineCoolant.LifeRemaining,sensor,int32,,s,,,Remaining engine coolant life in seconds. Negative values can be used to indicate that lifetime has been exceeded.,In addition to this a signal a vehicle can report remaining time to service (including e.g. coolant change) by Vehicle.Service.TimeToService.,,,
Vehicle.Powertrain.CombustionEngine.MAP,sensor,uint16,,kPa,,,Manifold absolute pressure possibly boosted using forced induction.,,,,
Vehicle.Powertrain.CombustionEngine.MAF,sensor,uint16,,g/s,,,Grams of air drawn into engine per second.,,,,
Vehicle.Powertrain.CombustionEngine.TPS,sensor,uint8,,percent,,100,Current throttle position.,,,,
Vehicle.Powertrain.CombustionEngine.EOP,sensor,uint16,,kPa,,,Engine oil pressure.,,,,
Vehicle.Powertrain.CombustionEngine.Power,sensor,uint16,,kW,,,Current engine power output. Shall be reported as 0 during engine breaking.,,,,
Vehicle.Powertrain.CombustionEngine.Torque,sensor,int16,,Nm,,,Current engine torque. Shall be reported as a negative number during engine breaking.,During engine breaking the engine delivers a negative torque to the transmission.,,,
